category,text,category_id,train
Spend Account: transfer funds external bank,How long does it take to transfer funds to an external bank?,13,0
Spend Account: find ATMs,"Need an ATM, can you point me to the nearest?",17,0
Rewards: opt in,How do I join the rewards program?,25,0
Card: enable,Could you help me turn my card back on?,1,0
User Account: change mailing address,Steps to update the postal address for my statements,10,0
Global: get balance,Can I get my balance on screen please?,4,0
User Account: get help contact customer service,Any tips for getting faster assistance from customer care?,22,0
Spend Account: transfer funds external bank,Is there a discount or fee waiver for frequent transfers to other banks?,13,0
Spend Account: transfer funds external bank,How to withdraw consent for future scheduled transfers to an external bank?,13,0
Card: get info status,Got a sec to check if my card is blocked?,28,0
Card: report stolen or lost,"Need to cancel my card, it’s been stolen",3,0
Statement: get,Can the last two statements be sent to my email?,6,0
Notifications: manage,I want to modify my app's notification sounds.,39,1
Notifications: sign up for,I want to opt in for notification about each transaction.,40,0
Transaction: history,Can you show me my last ten transactions?,7,0
User Account: edit profile name,Urgently need to correct my profile name,33,0
User Account: connect banks,Could you guide me through connecting a new bank account?,30,0
User Account: change phone number,Can I change the phone number you have on file for me?,32,0
User Account: change mailing address,Change my address on all official communication,10,0
Notifications: manage,"Reduce frequency of notifications, please.",39,0
Spending Tracker: get info,How often does the spending tracker update?,14,1
Spend Account: find ATMs,Show nearest ATMs on the map.,17,0
Spend Account: transfer funds,Let’s move some money to my offshore account today.,11,0
Card: report not received,My new card hasn't arrived yet,41,0
Card: disable,"There's been a theft, block my card!",0,0
Spend Account: consent to direct deposit,How do I allow my paycheck to be deposited directly into my account?,37,0
User Account: log out,"I need to logout now, what should I do?",23,0
Rewards: opt in,"I wish to participate in collecting rewards, can you add me?",25,0
User Account: get secure inbox messages,Let me see what's in my secure inbox.,15,0
Card: temporary limit increase,Can you bump up my card's spending cap for a bit?,36,0
Rewards: view offers,Do I get any rewards for using my card abroad?,21,0
Card: reset PIN,How do I go about resetting my card PIN myself?,34,0
Global: get balance,Can you show me my current account balance?,4,0
Global: get balance,"I need to see my total balance, can you help?",4,0
Notifications: manage,Change notifications to only show for transactions.,39,0
Overdraft: opt out,What steps do I take to opt out of overdraft?,29,0
Spend Account: transfer funds external bank,Can you show me how to move funds to a foreign bank using this app?,13,0
Global: get routing number direct deposit info,Quickly need to know my routing number.,5,0
Refer a Friend: get info,Can I refer someone from another country?,20,0
Spending Tracker: get info,Can you show me how to use the spending tracker feature?,14,0
Spend Account: find ATMs,Show ATMs nearby.,17,0
Refer a Friend: get info,Can I refer someone anonymously?,20,0
Rewards: opt in,"Enable rewards for my account, please.",25,0
Overdraft: opt out,Make sure to cancel my overdraft protection.,29,0
User Account: connect banks,Tell me how to hook up another bank account here?,30,0
Global: get routing number direct deposit info,Get me the direct deposit routing number please.,5,0
Spend Account: get cash withdrawal and reload locations,"I need a place to reload my card, any suggestions?",18,0
Card: cancel close,Close my current debit card account.,35,0
Card: enable,How can I reactivate my card?,1,0
User Account: change phone number,"My phone was stolen, I need to update my phone number ASAP.",32,0
Rewards: opt in,Please start my rewards membership.,25,0
Transaction: history,Can you help me find all transactions related to utility payments?,7,0
User Account: connect banks,Can you help me connect another bank to my account?,30,0
User Account: edit profile name,Point me to the section for name change on the app,33,1
Spend Account: consent to direct deposit,Can I set up direct deposit through the app?,37,0
Statement: get,Can you show me my statements from the last three months?,6,0
Global: get balance,What's my balance looking like right now?,4,1
Global: get routing number direct deposit info,Provide the routing number for my account.,5,0
User Account: get secure inbox messages,Have I received any secure messages recently?,15,0
User Account: change mailing address,Just relocated and need to update my address,10,0
Card: disable,Deactivate my card please,0,0
Card: temporary limit increase,How can I get a temporary rise in my card's limit?,36,0
Rewards: opt in,I want to be part of the rewards club. How do I go about it?,25,0
Card: enable,Help me get my card working again.,1,0
Card: temporary limit increase,How do I temporarily enhance my credit card's spending limit?,36,0
Card: get shipping status where is,Any update on the card I requested last Monday?,2,0
User Account: connect banks,How to integrate multiple banks into this single app?,30,0
Spend Account: transfer funds checks,"Instructions for a check transfer, please.",12,0
User Account: change mailing address,Can I update my address through your website?,10,0
Global: get routing number direct deposit info,Is there a way to view my routing number online?,5,1
User Account: esign,What kind of documents can I not e-sign?,19,0
User Account: get fee plan info,Could you tell me about the fee structure for my account?,27,0
Spend Account: consent to direct deposit,What do I need to do to start direct deposits?,37,0
Transaction: history,Where can I find my transaction history?,7,0
Notifications: sign up for,Can I get signed up to receive promotional messages?,40,0
Spend Account: consent to direct deposit,"Direct deposit consent needed, assist me please.",37,1
Transaction: history,I'd like to review my spending history please.,7,0
User Account: get help contact customer service,Where do I reach out for real-time assistance?,22,0
Statement: get,How to see last year's ending card statement?,6,0
Card: replace or upgrade,How long does it take to get a replacement card?,42,0
Global: get routing number direct deposit info,Routing number info for bank wire.,5,0
Notifications: sign up for,"I would like to get notified on rewards, can you set that?",40,0
Transaction: history,Is there a way to see my transactions from last summer?,7,0
Statement: get,How to get a statement breakdown for the current year?,6,0
Card: get info status,"Hmm, can you check whether my card is suspended?",28,0
User Account: connect banks,Help me add another account from a different bank.,30,0
Spend Account: get cash withdrawal and reload locations,Where are the reload places in my neighborhood?,18,0
Card: disable,"My card is compromised, disable it please",0,0
User Account: get secure inbox messages,Show me my newest secure inbox messages.,15,0
Spend Account: find ATMs,Locate an ATM near my location.,17,0
Rewards: opt in,Can you activate the rewards for my account?,25,0
User Account: log out,"Need to log out asap, guide me please.",23,1
User Account: esign,Can the e-signature feature work on all operating systems?,19,1
Card: add new,Can you help me request an additional card?,16,0
Statement: get,Need to download my past three card statements.,6,0
Card: report stolen or lost,Can you block my card? It's been taken,3,0
User Account: get help contact customer service,Can you give me the email for customer support?,22,0
Global: get balance,Need a quick check on my current money balance.,4,0
User Account: get fee plan info,Is there a charge for paper statements?,27,0
Card: add new,How can I apply for an additional debit card under my name?,16,0
User Account: closure request,Please process my account closure,38,0
Card: add new,Is it possible to add a new card online?,16,0
Rewards: opt in,"I'm ready to opt in for rewards, what’s my next step?",25,0
Notifications: manage,Can I mute all notifications temporarily?,39,1
Card: get shipping status where is,How do I find the shipment details of my card?,2,0
Rewards: opt out,Please deactivate any active rewards programs under my account.,26,0
User Account: change phone number,"Need to correct my phone number on my account, can I do this online?",32,0
Card: replace or upgrade,How can I get a card that supports international transactions?,42,0
Refer a Friend: get info,Can I refer family members as well?,20,0
Spend Account: transfer funds,"I’m trying to send money, can you assist?",11,0
Spending Tracker: get info,"I cannot access my spending tracker, what should I do?",14,0
Transaction: history,What's my spending activity for the last three months?,7,0
Savings Account: get info view program,Show the details of the savings scheme linked to my account.,24,0
Spending Tracker: get info,Is it possible to see past year's spending in the tracker?,14,0
User Account: change email address,"Step-by-step process to change my email, please?",9,0
Card: reset PIN,"Need to change my card PIN, how long does this take?",34,0
Spend Account: find ATMs,"I need the closest ATM, where should I go?",17,0
Spend Account: get cash withdrawal and reload locations,Map the cash withdrawal spots in my area.,18,0
Card: temporary limit increase,"Need more credit for just a month, can that be done?",36,0
Document: upload,Is there a deadline for uploading necessary documents?,31,0
Card: temporary limit increase,Can we discuss a temporary increase in my card limit?,36,0
User Account: connect banks,Show steps to connect my bank with this account?,30,1
Spending Tracker: get info,Can the spending tracker link to all my bank accounts?,14,0
Card: enable,What steps do I follow to enable my card?,1,0
User Account: connect banks,Guide on connecting a bank not listed on your platform?,30,0
Notifications: manage,Let me choose what notifications I want to receive.,39,0
Statement: get,How do I access my credit card statement from last month?,6,0
Savings Account: get info view program,Explain the details of my current savings setup.,24,1
Card: add new,"Arrange a new card for me, please.",16,0
Card: add new,How do I go about adding another card to my name?,16,1
Spend Account: consent to direct deposit,Guide me through consenting to direct deposits.,37,0
User Account: closure request,Guide me through closing my account permanently,38,0
Spend Account: get cash withdrawal and reload locations,Point me to the nearest reload station please.,18,0
Global: get routing number direct deposit info,Please provide the routing number associated with my account.,5,0
Card: replace or upgrade,"I want to swap my card for a better one, how do I do that?",42,0
Spend Account: transfer funds,How to send money to someone using their phone number?,11,0
Card: cancel close,"Cancel my card, please advise.",35,0
User Account: connect banks,Is it possible to add a bank account for automatic transfers?,30,0
Document: upload,Do you provide guidelines on how to prepare documents for uploading?,31,0
User Account: closure request,Terminate all functionalities and close my account,38,1
User Account: log out,Tell me how to finish my session here.,23,0
User Account: get fee plan info,What does it cost for balance inquiries on this card?,27,0
User Account: get fee plan info,How are the fund transfer fees calculated?,27,0
Overdraft: opt out,Please disable overdraft on my account.,29,0
User Account: esign,Can I add multiple electronic signatures in my account?,19,0
User Account: get secure inbox messages,Show the latest entries in my secure inbox.,15,0
Card: get shipping status where is,How close is my card to being delivered?,2,0
Spend Account: find ATMs,"I need ATMs near this address, can you help?",17,0
Notifications: manage,"Adjust notification volumes, please.",39,0
Card: get info status,"Just checking, my card’s not blocked, right?",28,0
Savings Account: get info view program,What benefits does my savings program contain?,24,0
Overdraft: opt out,Can I turn off my overdraft service?,29,1
Rewards: opt out,Isn't there a way to stop participating in the rewards program?,26,0
Card: replace or upgrade,What's the process for replacing my damaged card?,42,0
Statement: get,Where can I find transactions listed on my recent statement?,6,0
Notifications: sign up for,"Sign me up for alerts, please.",40,0
Savings Account: get info view program,Summarize the benefits of my savings account program.,24,0
Rewards: opt out,Please terminate my rewards enrollment.,26,0
Transaction: report dispute incorrect,"Someone made a transaction using my card details, please help",8,0
Notifications: manage,Show me options for notification management.,39,0
Notifications: manage,"I want fewer alerts, what should I do?",39,0
Card: enable,Reactivate my card so I can start shopping again.,1,0
Transaction: history,I want to review all the transactions I made on my business card.,7,0
User Account: get secure inbox messages,Check my secure inbox for any new updates.,15,0
User Account: change phone number,I want to ensure my new phone number is listed in my account details.,32,0
Refer a Friend: get info,Are there any special campaigns for referrals?,20,0
Refer a Friend: get info,Are there any special conditions for the referral program?,20,0
Rewards: opt in,"I'd like to activate my rewards membership, please.",25,0
Notifications: manage,How to switch off notifications when I am abroad?,39,0
Overdraft: opt out,Remove overdraft feature from my account.,29,0
Rewards: opt out,Can you remove me from the loyalty program?,26,0
Savings Account: get info view program,Help me understand my savings account better.,24,0
Statement: get,I need my annual card statement summary.,6,0
Card: replace or upgrade,What's the quickest way to replace my card?,42,0
Card: cancel close,Can you shut down my credit card for good?,35,0
Rewards: opt out,Can I deactivate my points collection on my credit card?,26,1
Transaction: report dispute incorrect,"An incorrect charge appears on my card, need assistance ASAP",8,1
Card: cancel close,"I wish to cancel my card, who do I contact?",35,0
Notifications: manage,"I want to turn off some notifications, how do I do that?",39,0
Card: report not received,My card issuance seems to be taking longer than expected,41,0
Card: get shipping status where is,Is there a tracking number for the card I ordered?,2,0
User Account: change email address,How can I change the email I use for notifications?,9,0
Statement: get,Find total charges on last card statement.,6,0
Global: get routing number direct deposit info,Can you confirm the routing number for payroll deposits?,5,0
Card: enable,"Let me start using my card again, enable it please.",1,0
Card: cancel close,How do I request a card cancellation?,35,0
Spend Account: transfer funds checks,Steps to make a check transfer from my spend account.,12,0
Transaction: history,Fetch my transaction details from the last couple of days.,7,0
User Account: esign,How can I retrieve a document after I have e-signed it?,19,0
User Account: connect banks,"I need to connect a new bank account, what should I do?",30,0
Card: get info status,"Hey, can you confirm my card's activation status?",28,1
Card: cancel close,Help in canceling my card.,35,0
Spend Account: get cash withdrawal and reload locations,Find me a nearby location to add funds to my card.,18,1
User Account: change password post login,Need help resetting my password,43,0
User Account: get fee plan info,Can you display my account's comprehensive fee guide?,27,0
Card: report stolen or lost,Lost card report,3,0
Overdraft: opt out,"Opting out of the overdraft service, how do I proceed?",29,0
User Account: get fee plan info,"What are the penalty fees, if any?",27,0
User Account: change phone number,"Since I moved, I have a new phone number. How to update?",32,0
Document: upload,Can I upload documents via email instead?,31,0
Rewards: opt out,I'd like to unsubscribe from the rewards program.,26,0
Card: cancel close,Deactivate my credit card as I no longer use it.,35,0
User Account: closure request,"I've reconsidered my finances, I’d like to close my account",38,0
Card: temporary limit increase,What do I need to do to temporarily increase my card's credit limit?,36,0
Rewards: opt out,Cut off the rewards features on my account now.,26,0
User Account: change email address,"New email alert, can you update my profile?",9,0
Spend Account: find ATMs,Any ATMs near here?,17,0
Card: get info status,"Hey there, what's the current state of my bank card?",28,0
Transaction: history,Could you pull up the list of my recent card transactions?,7,1
Savings Account: get info view program,Show me the information surrounding my savings account.,24,0
User Account: closure request,I wish to permanently end my account,38,0
Spend Account: find ATMs,Where's the closest ATM?,17,0
Spend Account: get cash withdrawal and reload locations,Places to top up my spend account nearby?,18,1
Card: add new,What documents do I need to add another card?,16,0
Card: replace or upgrade,"I heard I can replace my card easily, is that true?",42,0
Card: report stolen or lost,"Not sure where I left my card, but it’s lost",3,0
Savings Account: get info view program,What are the benefits of my savings account?,24,0
Card: disable,Going to need my card put on hold,0,1
Card: report not received,I'm checking in about the card I didn't receive yet,41,1
Spend Account: transfer funds checks,Is there a daily limit on how much I can transfer via check?,12,0
Spending Tracker: get info,How does the spending tracker on my account work?,14,0
Rewards: view offers,How do I check my card’s reward points?,21,0
User Account: get help contact customer service,Are there quick links for contacting support?,22,0
User Account: get fee plan info,Tell me about the costs of account closure.,27,0
Card: replace or upgrade,How can I replace a card that's not working properly?,42,0
Card: report stolen or lost,"I've been robbed, include my card too",3,0
Card: get info status,"I'm checking on the health of my card, can you update me?",28,0
Card: cancel close,Can you assist in closing down my card?,35,0
Card: get shipping status where is,Can I get a status update on my card shipment?,2,0
Savings Account: get info view program,Show the program details of my savings account please.,24,1
Global: get routing number direct deposit info,Can you locate my routing number?,5,1
User Account: change phone number,Where can I enter my new phone number on your website?,32,0
Spend Account: transfer funds,"Need to send cash from my account asap, how?",11,0
User Account: get secure inbox messages,"Load up my secure inbox, any new messages?",15,0
Rewards: view offers,Check if there are any seasonal shopping rewards.,21,0
User Account: closure request,"Shut down my account, I no longer have use for it",38,0
Statement: get,Can you display my previous statement?,6,0
User Account: log out,"I wish to sign out, can you help?",23,0
User Account: get help contact customer service,Are customer representatives available right now?,22,0
Spend Account: transfer funds,How to move funds to an international bank account?,11,0
User Account: log out,"I'm done for today, can you log me out?",23,0
Transaction: history,Provide a rundown of my spending and deposits.,7,0
User Account: change phone number,"I've recently changed my phone number, how do I update this in my profile?",32,0
User Account: connect banks,How can I connect multiple bank accounts to my main account?,30,0
Refer a Friend: get info,Do I get different rewards for referring different types of accounts?,20,0
User Account: change email address,I'd like to change the email I have registered,9,0
Spend Account: get cash withdrawal and reload locations,Where can I go to withdraw cash from my spend account?,18,0
User Account: get fee plan info,What are the fees for automatic bill payments setup?,27,0
User Account: change mailing address,How do I update the address you send my card statements to?,10,0
Spending Tracker: get info,Explain how the spending tracker helps me manage finances.,14,0
User Account: get secure inbox messages,Look up the most recent messages in my secure inbox.,15,0
Spending Tracker: get info,Are there any fees associated with using the spending tracker?,14,0
Savings Account: get info view program,I need to understand the structure of my savings account better.,24,0
Spend Account: consent to direct deposit,"I'd like to set up direct deposit, guide me through it.",37,0
Spend Account: transfer funds checks,What information is required on the check for a fund transfer?,12,0
Card: reset PIN,"Resetting my PIN, can you guide me?",34,0
User Account: log out,"Time to log off, where do I click?",23,0
Spend Account: consent to direct deposit,Help me sign up to receive my payments directly.,37,0
User Account: change password post login,Ways to change my password after I've logged in,43,0
User Account: esign,Where can I apply my electronic signature on forms?,19,0
User Account: get help contact customer service,"I need someone to help me with billing, whom do I call?",22,0
Card: get info status,Can you look up the status of my card for me?,28,0
User Account: closure request,Please help me end my association with this account,38,0
User Account: change email address,"Please change my email, it has been compromised",9,0
Spending Tracker: get info,Are transactions updated instantly in the spending tracker?,14,0
Card: temporary limit increase,"I need more spend available on my card temporarily, how do I set that up?",36,0
Global: get balance,What’s the value in my bank account?,4,0
User Account: change mailing address,Update my postal address in your records,10,0
Notifications: manage,Can you stop sending me daily alerts?,39,0
User Account: get fee plan info,Are there charges for using customer support services?,27,0
Transaction: report dispute incorrect,I didn’t make a purchase but it's showing on my account,8,0
Spend Account: consent to direct deposit,Guide on consenting to direct deposits?,37,0
Card: add new,What's the procedure to get another card linked to my account?,16,0
Global: get balance,"How's my bank account looking, what’s the balance?",4,0
Card: replace or upgrade,Where can I submit a request for card replacement?,42,0
User Account: change password post login,Need instructions for updating my password,43,0
Refer a Friend: get info,How quickly does my friend need to sign up after I refer them?,20,0
Card: cancel close,Could you help me close my credit card account?,35,0
User Account: esign,Where do I find the e-sign feature in my profile settings?,19,0
Spend Account: transfer funds,Walk me through transferring funds from my spend account.,11,0
Document: upload,How can I delete a wrong document that I uploaded?,31,0
User Account: get secure inbox messages,Can you check if I have any unread messages?,15,0
Card: replace or upgrade,"I want to replace my scratched card, what should I do?",42,0
Card: reset PIN,Can you walk me through the PIN reset process?,34,0
User Account: esign,Who do I contact if I'm having trouble with electronic signing?,19,0
Notifications: manage,Can I only receive notifications about my account balance?,39,1
User Account: get fee plan info,Are there any monthly charges on my card?,27,0
Refer a Friend: get info,Can you tell me more about the refer-a-friend program?,20,0
User Account: get fee plan info,What are the daily transaction limits and associated fees?,27,0
User Account: esign,What file formats can I sign electronically in your system?,19,0
Card: disable,Please deactivate my card ASAP,0,0
User Account: get secure inbox messages,Can I view new messages in my secure inbox?,15,1
Savings Account: get info view program,What can I do with my savings account?,24,0
Card: get info status,Can you tell me the present status of my card?,28,0
Spend Account: consent to direct deposit,"I need help setting up my direct deposit account, please assist.",37,1
Global: get routing number direct deposit info,Could you tell me my routing number for transfers?,5,0
Transaction: history,How can I check my purchases from two months ago?,7,0
User Account: get secure inbox messages,Are there any updates waiting for me in my inbox?,15,1
Spending Tracker: get info,How do I deactivate my spending tracker if needed?,14,0
Card: reset PIN,"Can I have instructions to reset my card's PIN, please?",34,0
Card: get shipping status where is,Are you able to tell me how far along my card shipment is?,2,0
Spending Tracker: get info,What does the spending tracker tell me about my expenses?,14,0
Notifications: sign up for,I'd like to be alerted anytime there is activity on my account.,40,0
Transaction: history,I want to analyze my spending patterns through my transaction history.,7,0
Spend Account: get cash withdrawal and reload locations,Need to top up my card - where can I go?,18,0
Rewards: opt in,How can I be eligible for card rewards?,25,0
Card: reset PIN,"I think my PIN is compromised, can I reset it?",34,0
Card: report not received,It seems like my card got lost in the mail,41,0
Refer a Friend: get info,Does my account status affect referral rewards?,20,0
Card: report not received,I was supposed to get my card but it never came,41,0
Statement: get,I need to check my recent card statement.,6,0
Card: get shipping status where is,What's the latest update on my card's shipping?,2,0
Rewards: opt in,Please sign me up for the rewards features.,25,0
Rewards: opt out,Take my account off the rewards list.,26,0
Card: reset PIN,"I'm trying to reset my debit card PIN, what are the steps?",34,0
User Account: change phone number,Who do I talk to if I need to update my phone number?,32,0
Spend Account: get cash withdrawal and reload locations,How can I find the nearest withdraw and reload facility?,18,0
User Account: esign,Can e-signatures be done on a mobile device?,19,0
Card: add new,What's the easiest way to request a second card?,16,0
Statement: get,Access to my statement needed for last month.,6,0
User Account: get help contact customer service,Who do I talk to for help with my service question?,22,0
Spend Account: transfer funds external bank,How to verify a fund transfer was sent to another bank?,13,0
Card: add new,"Steps on how to add another card, please.",16,0
Global: get balance,How much money do I currently have in my account?,4,0
Card: get shipping status where is,"I need to know the location of my card, can you find it?",2,0
User Account: edit profile name,How do I ensure my new name is updated across all my account details?,33,0
Refer a Friend: get info,How do I start referring friends?,20,0
User Account: change email address,"I don’t use my old email anymore, help me update it",9,0
Transaction: report dispute incorrect,How do I challenge a charge I believe is fraudulent?,8,0
Global: get routing number direct deposit info,What's the routing number I should use?,5,0
User Account: edit profile name,My legal name has changed and I need to update it in my account,33,0
User Account: change mailing address,Please update the address associated with my bank profile,10,0
Transaction: report dispute incorrect,"There’s a purchase on my card I didn’t make, please help",8,0
Card: report stolen or lost,"Help, my card's been lifted!",3,0
Card: enable,Need to enable my card please.,1,0
Rewards: opt out,"Can I just use the card without rewards, how to opt out?",26,0
Spend Account: find ATMs,Where's the nearest ATM for cash withdrawal?,17,0
User Account: edit profile name,Show me steps to change my name in my account settings,33,0
Statement: get,Is there a way to email me my last statement?,6,1
Rewards: view offers,What are the rewards for high spending on my card?,21,0
User Account: get help contact customer service,How to reach your customer care for a quick talk?,22,0
User Account: change password post login,Need assistance with account password reset,43,0
Card: report stolen or lost,"I don't have my card, it was in my lost wallet",3,0
Spend Account: transfer funds,How do I move my money from spending account to saving account?,11,0
Refer a Friend: get info,Is there an expiration on the referral program?,20,0
Card: report not received,"I need help, my card hasn't been sent to me",41,0
Spending Tracker: get info,How do I reset the spending tracker data?,14,0
Card: add new,Please guide me on how to request another card.,16,0
User Account: esign,Can I access e-signing on both the website and mobile app?,19,0
Global: get routing number direct deposit info,What is the routing number to set up a direct deposit?,5,0
Card: get info status,"Quick question, what's the status of my card?",28,0
User Account: get help contact customer service,Are there support agents available at night?,22,0
Spend Account: transfer funds external bank,I need to send money from my spend account to another bank urgently.,13,0
User Account: esign,What do I need to start using the e-signature facility?,19,0
Spend Account: find ATMs,I'm looking for ATMs in my area.,17,0
Spend Account: consent to direct deposit,Enable the direct deposit service for my payroll checks.,37,0
Spending Tracker: get info,What's the easiest way to monitor my expenses with the spending tracker?,14,0
Global: get routing number direct deposit info,Retrieve my routing number for fund transfers.,5,0
Rewards: opt in,"Sign me up to start earning rewards from my purchases, please.",25,0
Card: report not received,My card delivery status shows delivered but I never received it,41,0
Spend Account: transfer funds external bank,Can I transfer funds from here to a bank account in Europe?,13,0
Spend Account: transfer funds checks,Is it possible to send money through a checking account?,12,0
Spend Account: transfer funds,Can I shift $500 to another spend account?,11,0
Spend Account: get cash withdrawal and reload locations,Which locations allow cash reloading nearby?,18,0
Overdraft: opt out,Can I opt out of the overdraft feature on my bank card?,29,0
User Account: get fee plan info,Detail the fees for ATM withdrawals using this card.,27,0
Card: reset PIN,"Need a new PIN due to security issues, how soon can I get it?",34,0
Transaction: history,Review transactions made with my card ending in 1234.,7,1
Savings Account: get info view program,I am curious about the savings plan linked with my account.,24,0
Card: add new,"I want multiple cards for different purposes, how do I get started?",16,0
Card: cancel close,What's the process to cancel my card?,35,1
User Account: change password post login,Direct me to change my login password,43,1
User Account: esign,How can I make my electronic signature look more like my handwritten one?,19,0
Global: get routing number direct deposit info,Tell me my routing number please.,5,0
Savings Account: get info view program,Can you review the features and plans of my savings account?,24,0
Transaction: report dispute incorrect,How do I claim money back for a transaction I didn’t make?,8,0
Statement: get,How do I access a digital copy of my card statement?,6,0
Card: get info status,Can you confirm the current operational status of my card?,28,1
Spend Account: find ATMs,Find an ATM close to this location.,17,0
Card: get info status,"Need to know if my card is still working, can you check?",28,0
User Account: change email address,I need to update my email address on file,9,0
User Account: change mailing address,Procedure for updating my current residential address,10,0
Spend Account: find ATMs,Help finding an ATM?,17,0
User Account: closure request,I'd like to request a full account closure,38,1
Spend Account: transfer funds external bank,Can I set up a recurring transfer from this card to another bank account?,13,0
User Account: get fee plan info,Where can I find the fee information for account renewals?,27,0
Spend Account: transfer funds external bank,Why isn't my external bank listed in your transfer options?,13,0
Statement: get,I want to see what my last statement says.,6,0
Rewards: opt in,"Let me in the rewards program, please guide me.",25,1
Card: disable,Block my card usage immediately,0,0
Spend Account: transfer funds,How do I perform an online money transfer?,11,0
User Account: edit profile name,What’s the customer support number for name changes?,33,0
Document: upload,Are there any specific color requirements for the uploaded documents?,31,0
Card: disable,"My card needs to be disabled, can you help?",0,0
User Account: change email address,Help changing my old email to new,9,0
User Account: closure request,"I've made up my mind to close my account, guide me please",38,0
Global: get balance,What’s my latest balance update?,4,0
Spend Account: transfer funds external bank,How do I initiate a transfer to an external bank account using the mobile app?,13,0
Spend Account: transfer funds,Show me how to transfer money using my spend account.,11,0
